Actors,Count
0x3527cd37f0794e78d2f976d0bdae03e8e2e664e8,1.0
0x1395da015f4c33e87a6a392c57763f8897e912f0,1.0
0x057646f20948ac024c662a26f04a947b334516c2,1.0
0xa5d0c30d496c9446fb4acad25669b7694a0de2c2,1.0
0x84b2c6112ce9348e6126669c4c5aa80feb48e321,1.0
0x902ae35d44aa0d032f67890c66d39d85173da8e8,1.0
0x9fc036a5040ae780cfcbc8e7a5ff1e86b35dcb2f,1.0
0x74fa9c36beaaf7eddf7ccecfe82ccaed6d263492,1.0
0x4d8477627756bad441f6f3baa7b0de72dc255fa0,1.0
0x2ec5b460b1c1ed4ed81402dbb7e57dc03e60b38b,1.0
0xc78a0158013d5c5c8faf9d9ac22db99e7033d829,1.0
0x1789c2614d330e2d264b9f20485b8374e8539246,1.0
0xaab041998182de48b2acdab2fc3b138b86b1754f,1.0
0xccabfa331aa2c4dacbe26a18abccda9541afe33a,1.0
0x1650328a4e864abbed063a166df5850aa6e346e4,1.0
0x3fcb40fa740d5e468d1febcd8a3e446b346364f2,1.0
0xfdfbb2a23ac6b76524e665a54bf23dad354e1f45,1.0
0x4b3c83ed978e6d9b51ab967ccad004f4bb94c16f,1.0
0x1d3fb4af152bc6abb8f87d8d1c7ee3d23f53f54a,1.0
0x4aba5a8a7eecf2efbd38291d59e7b9340535083b,1.0
0x9bf9d6ccd8a98107f1c2c5f5316c88452227513e,1.0
0x23d298fe7fd797acfda0c9b533489238f07bee9c,1.0
0x2637d19d49228a0e0869f09d76db39d03a3318b8,1.0
0x51b3e7e9f44f9ee41264463d2933b5726f58971e,1.0
0x414a4f288ec218cc1658a5f16cbb5387915cd52b,1.0
0xaf6aaf02f32c24a728e785c4e9f97a0e74245c44,1.0
0xd1e81952a81f8603c17292ac46612e5bcf62f9ca,1.0
0x9ef0c10247c231e0199fdd23f63f0d19351722cb,1.0
0xbf35a18c03d83a388826e2b1ba2b8b2abae1ea91,1.0
0x65c69643105cb4a987e5d1f8fdba2930b12f61ab,1.0
0xa6900535b7fd759b9eb7346bebac505f9ec43a49,1.0
0xe86fb3f691518dc634d77d7c906ac8034797c886,1.0
0x2443ea642d0fa4befe66a7083dcb1fd83cfeba1f,1.0
0x79545c7100a6ee5f6dd267670c68a72eb33d5b70,1.0
0x2995dd1013cf93645d39848bdf50461a40f948c8,1.0
0xbbefc3e0bb2ccbf699810d7021c90c535d6e14a1,1.0
0xd5d69400bbd9a48df958ad3c5b548380279754c0,1.0
0xdece0bc2a497da2c077c077d895ce6d50fde60e1,1.0
0xcd74d8399bb44057e4789baa66ba8a8c1f2dbf44,1.0
0x75d9a1a8b772723d0befbf71b6ec51c5e1049f58,1.0
0xd61384adc4738778e2247ef6fbe3565b82e9ec62,1.0
0xc741a10ad8b4feda114534a25baf2502246ee042,1.0
0x488082b88e74ad5d963489b9d60eddda3ea8103e,1.0
0x42b03dc27fba9af9bd62ac4498b7dea661299209,1.0
0xcda0e12e848d1ce0905f17e4ea6d8ae340559ecf,1.0
0xca7534f21cd4a3a361853a58890e16022fda1fbc,1.0
0x0183b012882ccf21416b8e7d5869aa851c9abeb1,1.0
0xb18e56d6c3cbdb963c87ec33c5155d64ef5246f3,1.0
0x321fbd9588694135f806fb74456bec83e6d8112a,1.0
0x0af3e0beb2c4aa450e0ed9d63e40e45825a1623b,1.0
0x8150c0bb01c33d178c5e1bdacde521ede9ded126,1.0
0xd6723fe1c0875cceebbaa4f15b96a2d305a49620,1.0
0x6280534666b03341d3ed1f010b8b32e1923bb139,1.0
0x043621a7dd5845df74347df596c2d5a6ed774cb8,1.0
0xb372a3528a2a9c2cd515d1f5993e40d10ddfa400,1.0
0xa3a24c37d2f90b1ac6e0bbb6f23b88f5adc75eb9,1.0
0x365affeea1694173d96dacd0447f2fdf753ab6a2,1.0
0x761e2ef40410a4c523552f1542c2ca93482e291b,1.0
0xa433edc5f620ba19b2b4c10f521c2dbab8c514e0,1.0
0x24d1d6b45ae4197dc63d312783ac8dd6b4c62b32,1.0
0x1195cd3aa7be3cab372da4496fd1620a227dfbd5,1.0
0x2be2916b2ccf6662749fa0fff5395c31c9a99a51,1.0
0xf22a7eea06464a081a6a8a62bfd880c2adfb2a87,1.0
